Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-02-03 23:48:00+00:00,101617.8359375,101617.8359375,101617.8359375,101617.8359375,0
2025-02-03 23:50:00+00:00,101549.1328125,101549.1328125,101549.1328125,101549.1328125,0
2025-02-03 23:51:00+00:00,101531.8203125,101531.8203125,101531.8203125,101531.8203125,0
2025-02-03 23:52:00+00:00,101531.125,101531.125,101531.125,101531.125,0
2025-02-03 23:53:00+00:00,101516.6328125,101516.6328125,101516.6328125,101516.6328125,0
2025-02-03 23:54:00+00:00,101502.71875,101502.71875,101502.71875,101502.71875,0
2025-02-03 23:57:00+00:00,101403.09375,101403.09375,101403.09375,101403.09375,0
2025-02-04 00:00:00+00:00,101469.5859375,101469.5859375,101469.5859375,101469.5859375,0
2025-02-04 00:01:00+00:00,101550.8203125,101550.8203125,101550.8203125,101550.8203125,0
2025-02-04 00:03:00+00:00,101544.546875,101544.546875,101544.546875,101544.546875,0
2025-02-04 00:04:00+00:00,101578.5859375,101578.5859375,101578.5859375,101578.5859375,0
2025-02-04 00:05:00+00:00,101544.0234375,101544.0234375,101544.0234375,101544.0234375,0
2025-02-04 00:06:00+00:00,101620.0,101620.0,101620.0,101620.0,2211840
2025-02-04 00:08:00+00:00,101714.4609375,101714.4609375,101714.4609375,101714.4609375,0
2025-02-04 00:09:00+00:00,101726.609375,101726.609375,101726.609375,101726.609375,27271168
2025-02-04 00:12:00+00:00,101674.765625,101674.765625,101674.765625,101674.765625,0
2025-02-04 00:13:00+00:00,101672.5859375,101672.5859375,101672.5859375,101672.5859375,0
2025-02-04 00:15:00+00:00,101708.65625,101708.65625,101708.65625,101708.65625,0
2025-02-04 00:16:00+00:00,101694.6328125,101694.6328125,101694.6328125,101694.6328125,0
2025-02-04 00:17:00+00:00,101696.828125,101696.828125,101696.828125,101696.828125,0
2025-02-04 00:19:00+00:00,101682.8046875,101682.8046875,101682.8046875,101682.8046875,0
2025-02-04 00:20:00+00:00,101581.0390625,101581.0390625,101581.0390625,101581.0390625,0
2025-02-04 00:21:00+00:00,101648.578125,101648.578125,101648.578125,101648.578125,0
2025-02-04 00:22:00+00:00,101671.140625,101671.140625,101671.140625,101671.140625,0
2025-02-04 00:23:00+00:00,101552.25,101552.25,101552.25,101552.25,0
2025-02-04 00:24:00+00:00,101583.9375,101583.9375,101583.9375,101583.9375,12156928
2025-02-04 00:26:00+00:00,101554.734375,101554.734375,101554.734375,101554.734375,0
