Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2024-12-12 23:45:00+00:00,100053.578125,100090.8984375,100053.578125,100080.3671875,0
2024-12-12 23:50:00+00:00,100030.703125,100042.5703125,100030.03125,100030.03125,0
2024-12-12 23:55:00+00:00,100057.328125,100057.328125,100042.59375,100042.59375,0
2024-12-13 00:00:00+00:00,100000.6796875,100030.8515625,99991.359375,100030.8515625,0
2024-12-13 00:05:00+00:00,100222.890625,100222.890625,100074.6015625,100074.6015625,0
2024-12-13 00:10:00+00:00,100020.203125,100185.8515625,100020.203125,100185.8515625,41902080
2024-12-13 00:15:00+00:00,100160.25,100160.25,99999.5,99999.5,0
2024-12-13 00:20:00+00:00,100267.9609375,100283.9609375,100226.578125,100226.578125,0
2024-12-13 00:25:00+00:00,100302.359375,100310.5234375,100278.5546875,100278.5546875,0
2024-12-13 00:30:00+00:00,100230.46875,100266.0,100230.46875,100266.0,0
2024-12-13 00:35:00+00:00,100239.4609375,100285.359375,100239.4609375,100285.359375,0
2024-12-13 00:40:00+00:00,100310.65625,100310.65625,100259.4375,100259.4375,0
2024-12-13 00:45:00+00:00,100221.3203125,100330.3515625,100201.125,100308.3671875,0
2024-12-13 00:50:00+00:00,100170.7265625,100170.7265625,100096.609375,100114.0625,0
2024-12-13 00:55:00+00:00,100088.0859375,100169.7265625,100088.0859375,100169.7265625,0
2024-12-13 01:00:00+00:00,99970.1171875,100108.953125,99970.1171875,100108.953125,0
2024-12-13 01:05:00+00:00,99989.109375,100118.3984375,99966.5234375,99966.5234375,0
2024-12-13 01:10:00+00:00,100116.234375,100116.234375,100001.5859375,100001.5859375,0
2024-12-13 01:15:00+00:00,99885.4375,100081.375,99885.4375,100081.375,14213120
2024-12-13 01:20:00+00:00,99721.8984375,99839.6015625,99721.8984375,99839.6015625,0
2024-12-13 01:25:00+00:00,99639.2421875,99716.9296875,99639.2421875,99716.9296875,0
2024-12-13 01:30:00+00:00,99650.09375,99650.09375,99611.0234375,99611.0234375,0
2024-12-13 01:35:00+00:00,99528.2890625,99689.6171875,99528.2890625,99689.6171875,20021248
2024-12-13 01:40:00+00:00,99532.890625,99546.46875,99523.7890625,99523.7890625,12935168
2024-12-13 01:45:00+00:00,99593.0,99593.0,99545.078125,99559.015625,0
2024-12-13 01:50:00+00:00,99328.3359375,99476.3828125,99237.8828125,99476.3828125,45211648
2024-12-13 01:55:00+00:00,99409.5703125,99425.9296875,99409.5703125,99413.6328125,105725952
