Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2024-12-12 23:45:00,100057.328125,100090.8984375,100030.03125,100080.3671875,0
2024-12-13 00:00:00,100020.203125,100222.890625,99991.359375,100030.8515625,41902080
2024-12-13 00:15:00,100302.359375,100310.5234375,99999.5,99999.5,0
2024-12-13 00:30:00,100310.65625,100310.65625,100230.46875,100266.0,0
2024-12-13 00:45:00,100088.0859375,100330.3515625,100088.0859375,100308.3671875,0
2024-12-13 01:00:00,100116.234375,100118.3984375,99966.5234375,100108.953125,0
2024-12-13 01:15:00,99639.2421875,100081.375,99639.2421875,100081.375,14213120
2024-12-13 01:30:00,99532.890625,99689.6171875,99523.7890625,99611.0234375,32956416
2024-12-13 01:45:00,99409.5703125,99593.0,99237.8828125,99559.015625,150937600
2024-12-13 02:00:00,99349.5234375,99489.8046875,99324.9375,99337.5859375,91971584
2024-12-13 02:15:00,99392.0,99442.1171875,99334.90625,99361.3828125,198180864
2024-12-13 02:30:00,99574.46875,99613.5078125,99277.6640625,99377.5546875,327639040
2024-12-13 02:45:00,99432.7421875,99623.171875,99415.25,99623.171875,94617600
2024-12-13 03:00:00,99734.53125,99734.53125,99489.9609375,99489.9609375,0
2024-12-13 03:15:00,99622.03125,99701.7734375,99622.03125,99646.78125,0
2024-12-13 03:30:00,99720.0546875,99730.3125,99587.6640625,99587.6640625,0
2024-12-13 03:45:00,99761.953125,99800.0546875,99632.28125,99716.0625,0
2024-12-13 04:00:00,99832.5390625,99832.5390625,99709.875,99751.40625,0
2024-12-13 04:15:00,99842.2890625,99842.2890625,99747.2265625,99833.8984375,0
2024-12-13 04:30:00,99967.65625,99996.078125,99844.2265625,99868.5703125,87138304
2024-12-13 04:45:00,100022.4375,100052.859375,99917.046875,99941.265625,0
2024-12-13 05:00:00,100127.6171875,100132.4453125,100013.03125,100013.03125,0
2024-12-13 05:15:00,99970.1484375,100136.7578125,99952.140625,100105.75,0
2024-12-13 05:30:00,99952.578125,100024.6328125,99952.578125,99975.5234375,0
2024-12-13 05:45:00,99952.453125,99988.5546875,99918.2109375,99932.5,25522176
2024-12-13 06:00:00,100026.796875,100026.796875,99914.34375,99914.34375,0
2024-12-13 06:15:00,100025.6640625,100031.5234375,99963.9609375,100024.7265625,0
2024-12-13 06:30:00,99832.890625,100100.2265625,99832.890625,100036.5234375,11014144
2024-12-13 06:45:00,99790.71875,99936.9296875,99790.71875,99936.9296875,66588672
